FSA,BEV,PHEV,TotalEV
K0A,674,313,987
K0B,65,54,119
K0C,149,93,242
K0E,105,68,173
K0G,196,98,294
K0H,178,115,293
K0J,70,60,130
K0K,357,205,562
K0L,211,107,318
K0M,127,56,183
K1A,28,56,84
K1B,65,45,110
K1C,174,135,309
K1E,51,30,81
K1G,129,106,235
K1H,108,84,192
K1J,135,106,241
K1K,126,96,222
K1L,40,47,87
K1M,72,56,128
K1N,83,68,151
K1P,21,14,35
K1R,66,40,106
K1S,266,203,469
K1T,188,96,284
K1V,237,176,413
K1W,105,49,154
K1X,42,9,51
K1Y,184,89,273
K1Z,114,66,180
K2A,178,83,261
K2B,102,76,178
K2C,118,77,195
K2E,107,56,163
K2G,249,133,382
K2H,136,95,231
K2J,471,237,708
K2K,203,109,312
K2L,69,53,122
K2M,201,104,305
K2P,78,36,114
K2R,18,9,27
K2S,303,141,444
K2T,107,48,155
K2V,108,40,148
K2W,101,34,135
K3M,,1,1
K4A,326,178,504
K4B,42,24,66
K4C,60,20,80
K4K,122,57,179
K4M,224,69,293
K4P,120,45,165
K4R,48,33,81
K5M,1,,1
K6A,43,22,65
K6G,,1,1
K6H,67,45,112
K6J,24,22,46
K6K,6,3,9
K6T,2,,2
K6V,61,47,108
K7A,32,19,51
K7C,94,42,136
K7G,25,14,39
K7H,73,51,124
K7K,110,65,175
K7L,142,95,237
K7M,177,111,288
K7N,22,12,34
K7P,123,51,174
K7R,39,21,60
K7S,49,15,64
K7V,29,14,43
K8A,39,30,69
K8H,42,33,75
K8J,1,,1
K8K,,1,1
K8N,84,51,135
K8P,32,32,64
K8R,10,6,16
K8V,69,51,120
K9A,115,72,187
K9H,66,54,120
K9J,125,87,212
K9K,60,27,87
K9L,29,18,47
K9V,53,26,79
L0A,96,34,130
L0B,79,40,119
L0C,57,15,72
L0E,71,42,113
L0G,346,92,438
L0H,10,5,15
L0J,89,18,107
L0K,172,69,241
L0L,311,95,406
L0M,166,54,220
L0N,13,7,20
L0P,132,27,159
L0R,526,235,761
L0S,381,206,587
L0T,1,,1
L1A,68,34,102
L1B,67,26,93
L1C,240,93,333
L1E,113,58,171
L1G,104,60,164
L1H,145,40,185
L1J,113,60,173
L1K,230,75,305
L1L,106,29,135
L1M,167,61,228
L1N,257,122,379
L1P,224,59,283
L1R,249,68,317
L1S,254,97,351
L1T,334,99,433
L1V,360,106,466
L1W,125,38,163
L1X,207,44,251
L1Y,28,11,39
L1Z,273,95,368
L2A,53,25,78
L2E,42,27,69
L2G,108,50,158
L2H,133,57,190
L2J,54,25,79
L2M,60,42,102
L2N,129,61,190
L2P,47,22,69
L2R,117,127,244
L2S,70,40,110
L2T,39,19,58
L2V,81,24,105
L2W,10,4,14
L2Y,,1,1
L3A,1,,1
L3B,71,28,99
L3C,96,48,144
L3E,1,,1
L3J,48,32,80
L3K,50,27,77
L3L,9,,9
L3M,248,125,373
L3N,1,,1
L3P,357,115,472
L3R,795,229,1024
L3S,321,89,410
L3T,478,142,620
L3V,150,89,239
L3X,475,129,604
L3Y,281,145,426
L3Z,340,88,428
L4A,635,179,814
L4B,716,169,885
L4C,734,195,929
L4E,755,187,942
L4G,813,236,1049
L4H,881,180,1061
L4J,705,195,900
L4K,398,89,487
L4L,440,98,538
L4M,203,82,285
L4N,509,158,667
L4P,173,53,226
L4R,55,25,80
L4S,493,142,635
L4T,113,40,153
L4V,37,14,51
L4W,343,96,439
L4X,66,15,81
L4Y,128,47,175
L4Z,214,91,305
L5A,120,37,157
L5B,297,122,419
L5C,186,66,252
L5E,83,30,113
L5G,225,94,319
L5H,292,88,380
L5J,199,86,285
L5K,103,31,134
L5L,313,118,431
L5M,881,250,1131
L5N,520,191,711
L5P,3,8,11
L5R,293,89,382
L5S,50,12,62
L5T,85,24,109
L5V,346,86,432
L5W,244,50,294
L5X,1,,1
L6A,917,180,1097
L6B,476,85,561
L6C,1010,234,1244
L6E,411,106,517
L6G,83,22,105
L6H,1027,357,1384
L6J,534,181,715
L6K,193,102,295
L6L,504,153,657
L6M,1010,289,1299
L6P,881,142,1023
L6R,502,130,632
L6S,212,101,313
L6T,153,100,253
L6V,135,53,188
L6W,110,43,153
L6X,516,116,632
L6Y,715,161,876
L6Z,149,65,214
L7A,626,170,796
L7B,385,71,456
L7C,507,114,621
L7E,293,91,384
L7G,385,163,548
L7H,2,,2
L7J,99,41,140
L7K,104,25,129
L7L,441,213,654
L7M,494,192,686
L7N,137,57,194
L7P,257,116,373
L7R,153,96,249
L7S,69,47,116
L7T,146,76,222
L8B,230,90,320
L8E,247,110,357
L8G,96,38,134
L8H,55,30,85
L8J,184,64,248
L8K,75,58,133
L8L,63,33,96
L8M,37,33,70
L8N,46,24,70
L8P,92,75,167
L8R,24,15,39
L8S,55,36,91
L8T,44,32,76
L8V,30,31,61
L8W,90,38,128
L9A,86,36,122
L9B,114,72,186
L9C,163,97,260
L9E,274,34,308
L9G,256,119,375
L9H,278,162,440
L9J,34,5,39
L9K,200,62,262
L9L,83,26,109
L9M,46,30,76
L9N,298,61,359
L9P,119,67,186
L9R,138,40,178
L9S,239,66,305
L9T,947,263,1210
L9V,82,41,123
L9W,296,118,414
L9X,122,44,166
L9Y,191,80,271
L9Z,95,41,136
M1B,249,125,374
M1C,262,88,350
M1E,147,73,220
M1G,61,31,92
M1H,96,33,129
M1J,59,20,79
M1K,82,28,110
M1L,92,38,130
M1M,111,48,159
M1N,113,61,174
M1P,127,37,164
M1R,97,37,134
M1S,155,62,217
M1T,102,43,145
M1V,169,51,220
M1W,141,49,190
M1X,97,19,116
M2B,1,,1
M2H,134,49,183
M2J,336,112,448
M2K,194,67,261
M2L,196,59,255
M2M,209,71,280
M2N,571,218,789
M2P,147,24,171
M2R,118,69,187
M3A,352,49,401
M3B,275,68,343
M3C,157,42,199
M3H,222,77,299
M3J,114,33,147
M3K,48,12,60
M3L,39,7,46
M3M,29,16,45
M3N,44,13,57
M3R,,1,1
M3Y,1,,1
