FSA,BEV,PHEV,Total EV
K0A,1694,705,2399
K0B,164,109,273
K0C,355,234,589
K0E,277,146,423
K0G,454,191,645
K0H,405,245,650
K0J,172,129,301
K0K,944,481,1425
K0L,469,284,753
K0M,345,144,489
K0N,1,,1
K1A,90,72,162
K1B,168,97,265
K1C,376,285,661
K1E,131,95,226
K1G,412,274,686
K1H,226,143,369
K1J,307,171,478
K1K,310,226,536
K1L,122,88,210
K1M,144,91,235
K1N,184,130,314
K1P,54,16,70
K1R,166,91,257
K1S,576,403,979
K1T,507,253,760
K1V,548,386,934
K1W,282,145,427
K1X,133,54,187
K1Y,388,220,608
K1Z,270,154,424
K2A,317,186,503
K2B,229,174,403
K2C,283,179,462
K2E,217,131,348
K2G,539,331,870
K2H,332,195,527
K2J,1210,611,1821
K2K,405,237,642
K2L,178,110,288
K2M,437,234,671
K2P,167,76,243
K2R,47,30,77
K2S,759,376,1135
K2T,275,115,390
K2V,293,97,390
K2W,209,82,291
K2Z,,1,1
K3M,,1,1
K4A,840,422,1262
K4B,80,43,123
K4C,136,41,177
K4K,253,138,391
K4M,556,207,763
K4N,1,,1
K4P,260,118,378
K4R,137,68,205
K5W,2,,2
K6A,117,59,176
K6H,168,113,281
K6J,70,61,131
K6K,23,10,33
K6T,4,2,6
K6V,145,119,264
K7A,115,64,179
K7C,244,105,349
K7G,91,43,134
K7H,148,103,251
K7K,232,127,359
K7L,290,173,463
K7M,367,260,627
K7N,50,38,88
K7P,256,123,379
K7R,71,54,125
K7S,143,55,198
K7V,63,33,96
K8A,91,82,173
K8B,3,3,6
K8H,110,79,189
K8J,1,,1
K8K,,1,1
K8N,197,152,349
K8P,96,61,157
K8R,12,11,23
K8V,176,102,278
K9A,294,149,443
K9B,1,,1
K9G,,1,1
K9H,174,109,283
K9J,275,183,458
K9K,119,66,185
K9L,70,35,105
K9P,1,,1
K9V,158,71,229
L0A,199,71,270
L0B,185,67,252
L0C,120,49,169
L0E,211,83,294
L0G,773,215,988
L0H,17,7,24
L0J,151,38,189
L0K,379,153,532
L0L,630,214,844
L0M,308,105,413
L0N,35,11,46
L0P,218,50,268
L0R,1083,449,1532
L0S,889,390,1279
L0V,1,,1
L0W,1,,1
